_id,date,center_name,attendance_count
37279760,2024-02-26,Warrington Community Center,52
37279761,2024-02-26,West Penn Community Center,65
37279762,2024-02-24,Phillips Community Center,11
37279763,2024-02-24,Brookline Community Center,9
37279764,2024-02-24,Magee Community Center,12
37279765,2024-02-24,Paulson Community Center,12
37279766,2024-02-24,West Penn Community Center,207
37279767,2024-02-24,Warrington Community Center,2
37279768,2024-02-23,Phillips Community Center,90
37279769,2024-02-23,Ammon Community Center,14
37279770,2024-02-23,Arlington Community Center,38
37279771,2024-02-23,Brookline Community Center,48
37279772,2024-02-23,Magee Community Center,54
37279773,2024-02-23,Jefferson Community Center,36
37279774,2024-02-23,Paulson Community Center,24
37279775,2024-02-23,Warrington Community Center,30
37279776,2024-02-23,West Penn Community Center,79
37279777,2024-02-22,Phillips Community Center,58
37279778,2024-02-22,Arlington Community Center,9
37279779,2024-02-22,Ammon Community Center,20
37279780,2024-02-22,Brookline Community Center,57
37279781,2024-02-22,Magee Community Center,29
37279782,2024-02-22,Paulson Community Center,23
37279783,2024-02-22,West Penn Community Center,44
37279784,2024-02-22,Warrington Community Center,29
37279785,2024-02-21,Phillips Community Center,66
37279786,2024-02-21,Ammon Community Center,33
37279787,2024-02-21,Arlington Community Center,36
37279788,2024-02-21,Brookline Community Center,36
37279789,2024-02-21,Magee Community Center,41
37279790,2024-02-21,Jefferson Community Center,34
37279791,2024-02-21,Paulson Community Center,19
37279792,2024-02-21,Warrington Community Center,65
37279793,2024-02-21,West Penn Community Center,259
37279794,2024-02-20,Phillips Community Center,37
37279795,2024-02-20,Arlington Community Center,22
37279796,2024-02-20,Ammon Community Center,33
37279797,2024-02-20,Brookline Community Center,63
37279798,2024-02-20,Jefferson Community Center,29
37279799,2024-02-20,Magee Community Center,27
37279800,2024-02-20,Paulson Community Center,19
37279801,2024-02-20,West Penn Community Center,189
37279802,2024-02-20,Warrington Community Center,30
37279803,2024-02-19,Phillips Community Center,45
37279804,2024-02-19,Ammon Community Center,4
37279805,2024-02-19,Arlington Community Center,35
37279806,2024-02-19,Brookline Community Center,39
37279807,2024-02-19,Magee Community Center,40
37279808,2024-02-19,Paulson Community Center,13
37279809,2024-02-19,Warrington Community Center,26
37279810,2024-02-19,West Penn Community Center,85
37279811,2024-02-17,Phillips Community Center,11
37279812,2024-02-17,Ammon Community Center,1
37279813,2024-02-17,Magee Community Center,3
37279814,2024-02-17,West Penn Community Center,36
37279815,2024-02-16,Phillips Community Center,47
37279816,2024-02-16,Ammon Community Center,1
37279817,2024-02-16,Arlington Community Center,21
37279818,2024-02-16,Brookline Community Center,61
37279819,2024-02-16,Magee Community Center,77
37279820,2024-02-16,Jefferson Community Center,21
37279821,2024-02-16,Paulson Community Center,22
37279822,2024-02-16,West Penn Community Center,206
37279823,2024-02-16,Warrington Community Center,31
37279824,2024-02-15,Phillips Community Center,38
37279825,2024-02-15,Arlington Community Center,23
37279826,2024-02-15,Ammon Community Center,1
37279827,2024-02-15,Brookline Community Center,58
37279828,2024-02-15,Jefferson Community Center,21
37279829,2024-02-15,Magee Community Center,33
37279830,2024-02-15,Paulson Community Center,19
37279831,2024-02-15,Warrington Community Center,26
37279832,2024-02-15,West Penn Community Center,204
37279833,2024-02-14,Phillips Community Center,54
37279834,2024-02-14,Ammon Community Center,45
37279835,2024-02-14,Arlington Community Center,39
37279836,2024-02-14,Brookline Community Center,31
37279837,2024-02-14,Magee Community Center,23
37279838,2024-02-14,Paulson Community Center,25
37279839,2024-02-14,West Penn Community Center,251
37279840,2024-02-14,Warrington Community Center,43
37279841,2024-02-13,Phillips Community Center,45
37279842,2024-02-13,Arlington Community Center,22
37279843,2024-02-13,Ammon Community Center,29
37279844,2024-02-13,Brookline Community Center,53
37279845,2024-02-13,Magee Community Center,38
37279846,2024-02-13,Jefferson Community Center,33
37279847,2024-02-13,Paulson Community Center,17
37279848,2024-02-13,Warrington Community Center,33
37279849,2024-02-13,West Penn Community Center,168
37279850,2024-02-12,Phillips Community Center,59
37279851,2024-02-12,Arlington Community Center,18
37279852,2024-02-12,Brookline Community Center,43
37279853,2024-02-12,Jefferson Community Center,31
37279854,2024-02-12,Magee Community Center,34
37279855,2024-02-12,Paulson Community Center,16
37279856,2024-02-12,West Penn Community Center,61
37279857,2024-02-12,Warrington Community Center,23
37279858,2024-02-10,Phillips Community Center,59
37279859,2024-02-10,Brookline Community Center,14
37279860,2024-02-10,Magee Community Center,6
37279861,2024-02-10,Paulson Community Center,2
37279862,2024-02-10,West Penn Community Center,81
37279863,2024-02-09,Phillips Community Center,100
37279864,2024-02-09,Arlington Community Center,39
37279865,2024-02-09,Brookline Community Center,44
37279866,2024-02-09,Magee Community Center,41
37279867,2024-02-09,Jefferson Community Center,40
37279868,2024-02-09,Paulson Community Center,17
37279869,2024-02-09,West Penn Community Center,69
37279870,2024-02-09,Warrington Community Center,33
37279871,2024-02-08,Phillips Community Center,79
37279872,2024-02-08,Arlington Community Center,78
37279873,2024-02-08,Ammon Community Center,5
37279874,2024-02-08,Brookline Community Center,43
37279875,2024-02-08,Jefferson Community Center,22
37279876,2024-02-08,Magee Community Center,24
37279877,2024-02-08,Paulson Community Center,16
37279878,2024-02-08,Warrington Community Center,34
37279879,2024-02-08,West Penn Community Center,206
37279880,2024-02-07,Phillips Community Center,74
37279881,2024-02-07,Ammon Community Center,26
37279882,2024-02-07,Arlington Community Center,18
37279883,2024-02-07,Brookline Community Center,30
37279884,2024-02-07,Magee Community Center,25
37279885,2024-02-07,Paulson Community Center,25
37279886,2024-02-07,West Penn Community Center,332
37279887,2024-02-07,Warrington Community Center,35
37279888,2024-02-06,Phillips Community Center,88
37279889,2024-02-06,Arlington Community Center,78
37279890,2024-02-06,Ammon Community Center,2
37279891,2024-02-06,Brookline Community Center,62
37279892,2024-02-06,Magee Community Center,26
37279893,2024-02-06,Jefferson Community Center,30
37279894,2024-02-06,Paulson Community Center,25
37279895,2024-02-06,Warrington Community Center,39
37279896,2024-02-06,West Penn Community Center,141
37279897,2024-02-05,Phillips Community Center,68
37279898,2024-02-05,Ammon Community Center,25
37279899,2024-02-05,Arlington Community Center,53
37279900,2024-02-05,Brookline Community Center,43
37279901,2024-02-05,Jefferson Community Center,27
37279902,2024-02-05,Magee Community Center,26
37279903,2024-02-05,Paulson Community Center,31
37279904,2024-02-05,West Penn Community Center,114
37279905,2024-02-05,Warrington Community Center,46
37279906,2024-02-03,Phillips Community Center,22
37279907,2024-02-03,Brookline Community Center,15
37279908,2024-02-03,Magee Community Center,5
37279909,2024-02-03,Paulson Community Center,5
37279910,2024-02-03,Warrington Community Center,2
37279911,2024-02-03,West Penn Community Center,119
37279912,2024-02-02,Phillips Community Center,84
37279913,2024-02-02,Arlington Community Center,11
37279914,2024-02-02,Ammon Community Center,1
37279915,2024-02-02,Brookline Community Center,45
37279916,2024-02-02,Magee Community Center,43
37279917,2024-02-02,Paulson Community Center,27
37279918,2024-02-02,West Penn Community Center,98
37279919,2024-02-02,Warrington Community Center,40
37279920,2024-02-01,Phillips Community Center,74
37279921,2024-02-01,Ammon Community Center,2
37279922,2024-02-01,Arlington Community Center,25
37279923,2024-02-01,Brookline Community Center,47
37279924,2024-02-01,Magee Community Center,31
37279925,2024-02-01,Paulson Community Center,21
37279926,2024-02-01,Warrington Community Center,38
37279927,2024-02-01,West Penn Community Center,191
37279928,2024-01-31,Phillips Community Center,33
37279929,2024-01-31,Arlington Community Center,19
37279930,2024-01-31,Ammon Community Center,32
37279931,2024-01-31,Brookline Community Center,36
37279932,2024-01-31,Magee Community Center,24
37279933,2024-01-31,Jefferson Community Center,22
37279934,2024-01-31,Paulson Community Center,23
37279935,2024-01-31,West Penn Community Center,184
37279936,2024-01-31,Warrington Community Center,23
37279937,2024-01-30,Phillips Community Center,71
37279938,2024-01-30,Ammon Community Center,34
37279939,2024-01-30,Arlington Community Center,30
37279940,2024-01-30,Brookline Community Center,60
37279941,2024-01-30,Jefferson Community Center,3
37279942,2024-01-30,Magee Community Center,37
37279943,2024-01-30,Paulson Community Center,20
37279944,2024-01-30,Warrington Community Center,31
37279945,2024-01-30,West Penn Community Center,151
37279946,2024-01-29,Phillips Community Center,93
37279947,2024-01-29,Arlington Community Center,17
37279948,2024-01-29,Ammon Community Center,25
37279949,2024-01-29,Brookline Community Center,50
37279950,2024-01-29,Magee Community Center,40
37279951,2024-01-29,Paulson Community Center,17
37279952,2024-01-29,West Penn Community Center,87
37279953,2024-01-29,Warrington Community Center,27
37279954,2024-01-27,Phillips Community Center,43
37279955,2024-01-27,Brookline Community Center,12
37279956,2024-01-27,Magee Community Center,5
37279957,2024-01-27,Paulson Community Center,9
37279958,2024-01-27,West Penn Community Center,52
37279959,2024-01-26,Phillips Community Center,81
37279960,2024-01-26,Ammon Community Center,36
37279961,2024-01-26,Arlington Community Center,10
37279962,2024-01-26,Brookline Community Center,36
37279963,2024-01-26,Magee Community Center,19
37279964,2024-01-26,Paulson Community Center,26
37279965,2024-01-26,West Penn Community Center,63
37279966,2024-01-26,Warrington Community Center,17
37279967,2024-01-25,Phillips Community Center,73
37279968,2024-01-25,Arlington Community Center,32
37279969,2024-01-25,Ammon Community Center,5
37279970,2024-01-25,Brookline Community Center,50
37279971,2024-01-25,Magee Community Center,17
37279972,2024-01-25,Paulson Community Center,22
37279973,2024-01-25,Warrington Community Center,19
37279974,2024-01-25,West Penn Community Center,182
37279975,2024-01-24,Phillips Community Center,85
37279976,2024-01-24,Ammon Community Center,20
37279977,2024-01-24,Arlington Community Center,17
37279978,2024-01-24,Brookline Community Center,40
37279979,2024-01-24,Magee Community Center,30
37279980,2024-01-24,Jefferson Community Center,23
37279981,2024-01-24,Paulson Community Center,17
37279982,2024-01-24,West Penn Community Center,263
37279983,2024-01-24,Warrington Community Center,34
37279984,2024-01-23,Phillips Community Center,60
37279985,2024-01-23,Arlington Community Center,22
37279986,2024-01-23,Ammon Community Center,34
37279987,2024-01-23,Brookline Community Center,66
37279988,2024-01-23,Magee Community Center,37
37279989,2024-01-23,Paulson Community Center,20
37279990,2024-01-23,Warrington Community Center,28
37279991,2024-01-23,West Penn Community Center,208
37279992,2024-01-22,Phillips Community Center,56
37279993,2024-01-22,Ammon Community Center,42
37279994,2024-01-22,Arlington Community Center,21
37279995,2024-01-22,Brookline Community Center,52
37279996,2024-01-22,Magee Community Center,28
37279997,2024-01-22,Jefferson Community Center,22
37279998,2024-01-22,Paulson Community Center,27
37279999,2024-01-22,West Penn Community Center,92
37280000,2024-01-22,Warrington Community Center,27
37280001,2024-01-20,Phillips Community Center,1
37280002,2024-01-20,Brookline Community Center,5
37280003,2024-01-20,Magee Community Center,2
37280004,2024-01-20,Warrington Community Center,1
37280005,2024-01-20,West Penn Community Center,144
37280006,2024-01-18,Phillips Community Center,53
37280007,2024-01-18,Arlington Community Center,9
37280008,2024-01-18,Ammon Community Center,7
37280009,2024-01-18,Brookline Community Center,35
37280010,2024-01-18,Magee Community Center,23
37280011,2024-01-18,Jefferson Community Center,19
37280012,2024-01-18,Paulson Community Center,19
37280013,2024-01-18,West Penn Community Center,193
37280014,2024-01-18,Warrington Community Center,20
37280015,2024-01-17,Phillips Community Center,61
37280016,2024-01-17,Ammon Community Center,4
37280017,2024-01-17,Arlington Community Center,27
37280018,2024-01-17,Brookline Community Center,32
37280019,2024-01-17,Jefferson Community Center,21
37280020,2024-01-17,Magee Community Center,39
37280021,2024-01-17,Paulson Community Center,10
37280022,2024-01-17,Warrington Community Center,24
37280023,2024-01-17,West Penn Community Center,248
37280024,2024-01-16,Phillips Community Center,32
37280025,2024-01-16,Arlington Community Center,11
37280026,2024-01-16,Ammon Community Center,2
37280027,2024-01-16,Brookline Community Center,29
37280028,2024-01-16,Magee Community Center,13
37280029,2024-01-16,Jefferson Community Center,23
37280030,2024-01-16,Paulson Community Center,6
37280031,2024-01-16,West Penn Community Center,147
37280032,2024-01-16,Warrington Community Center,16
37280033,2024-01-15,Ammon Community Center,1
37280034,2024-01-13,Ammon Community Center,1
37280035,2024-01-13,Magee Community Center,4
37280036,2024-01-13,West Penn Community Center,151
37280037,2024-01-12,Phillips Community Center,70
37280038,2024-01-12,Ammon Community Center,15
37280039,2024-01-12,Arlington Community Center,19
37280040,2024-01-12,Brookline Community Center,47
37280041,2024-01-12,Magee Community Center,36
37280042,2024-01-12,Paulson Community Center,19
37280043,2024-01-12,West Penn Community Center,70
37280044,2024-01-12,Warrington Community Center,19
37280045,2024-01-11,Phillips Community Center,90
37280046,2024-01-11,Arlington Community Center,67
37280047,2024-01-11,Ammon Community Center,39
37280048,2024-01-11,Brookline Community Center,46
37280049,2024-01-11,Magee Community Center,24
37280050,2024-01-11,Paulson Community Center,19
37280051,2024-01-11,Warrington Community Center,26
37280052,2024-01-11,West Penn Community Center,224
37280053,2024-01-10,Phillips Community Center,57
37280054,2024-01-10,Ammon Community Center,53
37280055,2024-01-10,Arlington Community Center,24
37280056,2024-01-10,Brookline Community Center,37
37280057,2024-01-10,Magee Community Center,22
37280058,2024-01-10,Jefferson Community Center,21
37280059,2024-01-10,Paulson Community Center,22
37280060,2024-01-10,West Penn Community Center,285
37280061,2024-01-10,Warrington Community Center,19
37280062,2024-01-09,Phillips Community Center,66
37280063,2024-01-09,Arlington Community Center,14
37280064,2024-01-09,Ammon Community Center,39
37280065,2024-01-09,Brookline Community Center,47
37280066,2024-01-09,Magee Community Center,19
37280067,2024-01-09,Paulson Community Center,21
37280068,2024-01-09,Warrington Community Center,19
37280069,2024-01-09,West Penn Community Center,64
37280070,2024-01-08,Phillips Community Center,50
37280071,2024-01-08,Ammon Community Center,42
37280072,2024-01-08,Arlington Community Center,35
37280073,2024-01-08,Brookline Community Center,44
37280074,2024-01-08,Magee Community Center,6
37280075,2024-01-08,Jefferson Community Center,30
37280076,2024-01-08,Paulson Community Center,32
37280077,2024-01-08,West Penn Community Center,76
37280078,2024-01-08,Warrington Community Center,23
37280079,2024-01-06,Phillips Community Center,6
37280080,2024-01-06,Brookline Community Center,9
37280081,2024-01-06,Magee Community Center,6
37280082,2024-01-06,Paulson Community Center,5
37280083,2024-01-06,West Penn Community Center,86
37280084,2024-01-05,Phillips Community Center,81
37280085,2024-01-05,Arlington Community Center,28
37280086,2024-01-05,Ammon Community Center,32
37280087,2024-01-05,Brookline Community Center,35
37280088,2024-01-05,Magee Community Center,39
37280089,2024-01-05,Jefferson Community Center,23
37280090,2024-01-05,Paulson Community Center,23
37280091,2024-01-05,West Penn Community Center,79
37280092,2024-01-05,Warrington Community Center,21
37280093,2024-01-04,Phillips Community Center,74
37280094,2024-01-04,Ammon Community Center,32
37280095,2024-01-04,Arlington Community Center,8
37280096,2024-01-04,Brookline Community Center,48
37280097,2024-01-04,Jefferson Community Center,33
37280098,2024-01-04,Magee Community Center,17
37280099,2024-01-04,Paulson Community Center,28
37280100,2024-01-04,Warrington Community Center,22
37280101,2024-01-04,West Penn Community Center,166
37280102,2024-01-03,Phillips Community Center,60
37280103,2024-01-03,Arlington Community Center,51
37280104,2024-01-03,Ammon Community Center,39
37280105,2024-01-03,Brookline Community Center,27
37280106,2024-01-03,Magee Community Center,19
37280107,2024-01-03,Jefferson Community Center,26
37280108,2024-01-03,Paulson Community Center,20
37280109,2024-01-03,West Penn Community Center,196
37280110,2024-01-03,Warrington Community Center,26
37280111,2024-01-02,Phillips Community Center,48
37280112,2024-01-02,Ammon Community Center,33
37280113,2024-01-02,Arlington Community Center,11
37280114,2024-01-02,Brookline Community Center,50
37280115,2024-01-02,Magee Community Center,25
37280116,2024-01-02,Paulson Community Center,6
37280117,2024-01-02,Warrington Community Center,12
37280118,2024-01-02,West Penn Community Center,149
37280119,2023-12-29,Phillips Community Center,21
37280120,2023-12-29,Arlington Community Center,15
37280121,2023-12-29,Ammon Community Center,23
37280122,2023-12-29,Brookline Community Center,35
37280123,2023-12-29,Magee Community Center,24
37280124,2023-12-29,Paulson Community Center,3
37280125,2023-12-29,West Penn Community Center,58
37280126,2023-12-29,Warrington Community Center,11
37280127,2023-12-28,Phillips Community Center,26
37280128,2023-12-28,Ammon Community Center,2
37280129,2023-12-28,Arlington Community Center,9
37280130,2023-12-28,Brookline Community Center,35
37280131,2023-12-28,Magee Community Center,28
37280132,2023-12-28,Jefferson Community Center,8
37280133,2023-12-28,Paulson Community Center,5
37280134,2023-12-28,Warrington Community Center,8
37280135,2023-12-28,West Penn Community Center,36
37280136,2023-12-27,Phillips Community Center,36
37280137,2023-12-27,Arlington Community Center,14
37280138,2023-12-27,Ammon Community Center,4
37280139,2023-12-27,Brookline Community Center,25
37280140,2023-12-27,Jefferson Community Center,11
37280141,2023-12-27,Magee Community Center,16
37280142,2023-12-27,Paulson Community Center,12
37280143,2023-12-27,West Penn Community Center,38
37280144,2023-12-27,Warrington Community Center,9
37280145,2023-12-26,Phillips Community Center,25
37280146,2023-12-26,Ammon Community Center,2
37280147,2023-12-26,Arlington Community Center,12
37280148,2023-12-26,Brookline Community Center,29
37280149,2023-12-26,Magee Community Center,25
37280150,2023-12-26,Paulson Community Center,1
37280151,2023-12-26,Warrington Community Center,5
37280152,2023-12-26,West Penn Community Center,34
37280153,2023-12-24,Ammon Community Center,1
37280154,2023-12-23,West Penn Community Center,161
37280155,2023-12-22,Phillips Community Center,22
37280156,2023-12-22,Ammon Community Center,38
37280157,2023-12-22,Arlington Community Center,1
37280158,2023-12-22,Brookline Community Center,38
37280159,2023-12-22,Magee Community Center,18
37280160,2023-12-22,Paulson Community Center,13
37280161,2023-12-22,West Penn Community Center,50
37280162,2023-12-22,Warrington Community Center,7
37280163,2023-12-21,Phillips Community Center,53
37280164,2023-12-21,Arlington Community Center,24
37280165,2023-12-21,Ammon Community Center,61
37280166,2023-12-21,Brookline Community Center,27
37280167,2023-12-21,Magee Community Center,9
37280168,2023-12-21,Paulson Community Center,17
37280169,2023-12-21,West Penn Community Center,34
37280170,2023-12-20,Phillips Community Center,64
37280171,2023-12-20,Ammon Community Center,37
37280172,2023-12-20,Arlington Community Center,38
37280173,2023-12-20,Brookline Community Center,28
37280174,2023-12-20,Magee Community Center,21
37280175,2023-12-20,Jefferson Community Center,19
37280176,2023-12-20,Paulson Community Center,20
37280177,2023-12-20,West Penn Community Center,42
37280178,2023-12-20,Warrington Community Center,15
37280179,2023-12-19,Phillips Community Center,70
37280180,2023-12-19,Arlington Community Center,7
37280181,2023-12-19,Ammon Community Center,5
37280182,2023-12-19,Brookline Community Center,27
37280183,2023-12-19,Jefferson Community Center,28
37280184,2023-12-19,Magee Community Center,16
37280185,2023-12-19,Paulson Community Center,17
37280186,2023-12-19,Warrington Community Center,11
37280187,2023-12-19,West Penn Community Center,88
37280188,2023-12-18,Phillips Community Center,75
37280189,2023-12-18,Ammon Community Center,10
37280190,2023-12-18,Arlington Community Center,5
37280191,2023-12-18,Brookline Community Center,33
37280192,2023-12-18,Magee Community Center,21
37280193,2023-12-18,Jefferson Community Center,29
37280194,2023-12-18,Paulson Community Center,19
37280195,2023-12-18,West Penn Community Center,44
37280196,2023-12-18,Warrington Community Center,16
37280197,2023-12-16,Phillips Community Center,11
37280198,2023-12-16,Brookline Community Center,4
37280199,2023-12-16,Magee Community Center,9
37280200,2023-12-16,Paulson Community Center,6
37280201,2023-12-16,West Penn Community Center,71
37280202,2023-12-15,Phillips Community Center,59
37280203,2023-12-15,Arlington Community Center,28
37280204,2023-12-15,Ammon Community Center,2
37280205,2023-12-15,Brookline Community Center,21
37280206,2023-12-15,Magee Community Center,49
37280207,2023-12-15,Paulson Community Center,22
37280208,2023-12-15,West Penn Community Center,77
37280209,2023-12-15,Warrington Community Center,12
37280210,2023-12-14,Phillips Community Center,80
37280211,2023-12-14,Ammon Community Center,2
37280212,2023-12-14,Brookline Community Center,36
37280213,2023-12-14,Magee Community Center,16
37280214,2023-12-14,Jefferson Community Center,29
37280215,2023-12-14,Paulson Community Center,11
37280216,2023-12-14,Warrington Community Center,8
37280217,2023-12-14,West Penn Community Center,62
37280218,2023-12-13,Phillips Community Center,54
37280219,2023-12-13,Ammon Community Center,6
37280220,2023-12-13,Arlington Community Center,40
37280221,2023-12-13,Brookline Community Center,18
37280222,2023-12-13,Jefferson Community Center,34
37280223,2023-12-13,Magee Community Center,15
37280224,2023-12-13,Paulson Community Center,16
37280225,2023-12-13,West Penn Community Center,61
37280226,2023-12-13,Warrington Community Center,17
37280227,2023-12-12,Phillips Community Center,75
37280228,2023-12-12,Arlington Community Center,1
37280229,2023-12-12,Ammon Community Center,3
37280230,2023-12-12,Brookline Community Center,39
37280231,2023-12-12,Magee Community Center,23
37280232,2023-12-12,Paulson Community Center,22
37280233,2023-12-12,Warrington Community Center,28
37280234,2023-12-12,West Penn Community Center,82
37280235,2023-12-11,Phillips Community Center,65
37280236,2023-12-11,Ammon Community Center,30
37280237,2023-12-11,Arlington Community Center,28
37280238,2023-12-11,Brookline Community Center,32
37280239,2023-12-11,Magee Community Center,23
37280240,2023-12-11,Jefferson Community Center,38
37280241,2023-12-11,Paulson Community Center,16
37280242,2023-12-11,West Penn Community Center,72
37280243,2023-12-11,Warrington Community Center,16
37280244,2023-12-09,Phillips Community Center,7
37280245,2023-12-09,Arlington Community Center,54
37280246,2023-12-09,Ammon Community Center,1
37280247,2023-12-09,Brookline Community Center,3
37280248,2023-12-09,Magee Community Center,2
37280249,2023-12-09,Paulson Community Center,12
37280250,2023-12-09,West Penn Community Center,39
37280251,2023-12-08,Phillips Community Center,77
37280252,2023-12-08,Ammon Community Center,5
37280253,2023-12-08,Arlington Community Center,2
37280254,2023-12-08,Brookline Community Center,17
37280255,2023-12-08,Magee Community Center,30
37280256,2023-12-08,Paulson Community Center,18
37280257,2023-12-08,West Penn Community Center,81
37280258,2023-12-08,Warrington Community Center,16
37280259,2023-12-07,Phillips Community Center,66
37280260,2023-12-07,Arlington Community Center,27
37280261,2023-12-07,Ammon Community Center,32
37280262,2023-12-07,Brookline Community Center,29
37280263,2023-12-07,Magee Community Center,26
37280264,2023-12-07,Jefferson Community Center,25
37280265,2023-12-07,Paulson Community Center,13
37280266,2023-12-07,Warrington Community Center,9
37280267,2023-12-07,West Penn Community Center,59
37280268,2023-12-06,Phillips Community Center,51
37280269,2023-12-06,Ammon Community Center,35
37280270,2023-12-06,Arlington Community Center,26
37280271,2023-12-06,Brookline Community Center,22
37280272,2023-12-06,Jefferson Community Center,23
37280273,2023-12-06,Magee Community Center,13
37280274,2023-12-06,Paulson Community Center,19
37280275,2023-12-06,West Penn Community Center,71
37280276,2023-12-06,Warrington Community Center,19
37280277,2023-12-05,Phillips Community Center,63
37280278,2023-12-05,Ammon Community Center,34
37280279,2023-12-05,Brookline Community Center,36
37280280,2023-12-05,Magee Community Center,20
37280281,2023-12-05,Jefferson Community Center,23
37280282,2023-12-05,Paulson Community Center,16
37280283,2023-12-05,Warrington Community Center,25
37280284,2023-12-05,West Penn Community Center,75
37280285,2023-12-04,Phillips Community Center,73
37280286,2023-12-04,Ammon Community Center,8
37280287,2023-12-04,Arlington Community Center,32
37280288,2023-12-04,Brookline Community Center,35
37280289,2023-12-04,Jefferson Community Center,13
37280290,2023-12-04,Magee Community Center,26
37280291,2023-12-04,Paulson Community Center,22
37280292,2023-12-04,West Penn Community Center,66
37280293,2023-12-04,Warrington Community Center,19
37280294,2023-12-02,Phillips Community Center,45
37280295,2023-12-02,Arlington Community Center,116
37280296,2023-12-02,Brookline Community Center,7
37280297,2023-12-02,Magee Community Center,5
37280298,2023-12-02,West Penn Community Center,28
37280299,2023-12-01,Phillips Community Center,72
37280300,2023-12-01,Arlington Community Center,27
37280301,2023-12-01,Ammon Community Center,16
37280302,2023-12-01,Brookline Community Center,24
37280303,2023-12-01,Magee Community Center,17
37280304,2023-12-01,Jefferson Community Center,33
37280305,2023-12-01,Paulson Community Center,23
37280306,2023-12-01,West Penn Community Center,81
37280307,2023-12-01,Warrington Community Center,16
37280308,2023-11-30,Phillips Community Center,64
37280309,2023-11-30,Ammon Community Center,34
37280310,2023-11-30,Brookline Community Center,37
37280311,2023-11-30,Jefferson Community Center,18
37280312,2023-11-30,Magee Community Center,25
37280313,2023-11-30,Paulson Community Center,19
37280314,2023-11-30,Warrington Community Center,21
37280315,2023-11-30,West Penn Community Center,106
37280316,2023-11-29,Phillips Community Center,75
37280317,2023-11-29,Ammon Community Center,23
37280318,2023-11-29,Arlington Community Center,65
37280319,2023-11-29,Brookline Community Center,17
37280320,2023-11-29,Magee Community Center,16
37280321,2023-11-29,Jefferson Community Center,18
37280322,2023-11-29,Paulson Community Center,20
37280323,2023-11-29,West Penn Community Center,61
37280324,2023-11-29,Warrington Community Center,47
37280325,2023-11-28,Phillips Community Center,76
37280326,2023-11-28,Arlington Community Center,35
37280327,2023-11-28,Ammon Community Center,23
37280328,2023-11-28,Brookline Community Center,33
37280329,2023-11-28,Magee Community Center,32
37280330,2023-11-28,Paulson Community Center,15
37280331,2023-11-28,Warrington Community Center,28
37280332,2023-11-28,West Penn Community Center,133
37280333,2023-11-27,Phillips Community Center,46
37280334,2023-11-27,Ammon Community Center,21
37280335,2023-11-27,Arlington Community Center,19
37280336,2023-11-27,Brookline Community Center,29
37280337,2023-11-27,Magee Community Center,27
37280338,2023-11-27,Jefferson Community Center,22
37280339,2023-11-27,Paulson Community Center,12
37280340,2023-11-27,West Penn Community Center,56
37280341,2023-11-27,Warrington Community Center,9
37280342,2023-11-22,Phillips Community Center,53
37280343,2023-11-22,Arlington Community Center,44
37280344,2023-11-22,Ammon Community Center,52
37280345,2023-11-22,Brookline Community Center,25
37280346,2023-11-22,Magee Community Center,26
37280347,2023-11-22,Paulson Community Center,21
37280348,2023-11-22,Warrington Community Center,15
37280349,2023-11-22,West Penn Community Center,29
37280350,2023-11-21,Phillips Community Center,49
37280351,2023-11-21,Ammon Community Center,130
37280352,2023-11-21,Arlington Community Center,43
37280353,2023-11-21,Brookline Community Center,26
37280354,2023-11-21,Magee Community Center,26
37280355,2023-11-21,Jefferson Community Center,14
37280356,2023-11-21,Paulson Community Center,11
37280357,2023-11-21,West Penn Community Center,137
37280358,2023-11-21,Warrington Community Center,15
37280359,2023-11-20,Phillips Community Center,84
37280360,2023-11-20,Arlington Community Center,46
37280361,2023-11-20,Ammon Community Center,8
37280362,2023-11-20,Brookline Community Center,33
37280363,2023-11-20,Jefferson Community Center,22
37280364,2023-11-20,Magee Community Center,32
37280365,2023-11-20,Paulson Community Center,20
37280366,2023-11-20,Warrington Community Center,23
37280367,2023-11-20,West Penn Community Center,44
37280368,2023-11-18,Phillips Community Center,1
37280369,2023-11-18,Arlington Community Center,68
37280370,2023-11-18,Brookline Community Center,4
37280371,2023-11-18,Paulson Community Center,14
37280372,2023-11-18,West Penn Community Center,22
37280373,2023-11-17,Phillips Community Center,29
37280374,2023-11-17,Arlington Community Center,22
37280375,2023-11-17,Ammon Community Center,6
37280376,2023-11-17,Brookline Community Center,25
37280377,2023-11-17,Magee Community Center,35
37280378,2023-11-17,Jefferson Community Center,14
37280379,2023-11-17,Paulson Community Center,21
37280380,2023-11-17,West Penn Community Center,52
37280381,2023-11-17,Warrington Community Center,35
37280382,2023-11-16,Phillips Community Center,57
37280383,2023-11-16,Ammon Community Center,18
37280384,2023-11-16,Arlington Community Center,22
37280385,2023-11-16,Brookline Community Center,33
37280386,2023-11-16,Jefferson Community Center,22
37280387,2023-11-16,Magee Community Center,33
37280388,2023-11-16,Paulson Community Center,25
37280389,2023-11-16,Warrington Community Center,15
37280390,2023-11-16,West Penn Community Center,33
37280391,2023-11-15,Phillips Community Center,48
37280392,2023-11-15,Arlington Community Center,50
37280393,2023-11-15,Ammon Community Center,23
37280394,2023-11-15,Brookline Community Center,26
37280395,2023-11-15,Magee Community Center,30
37280396,2023-11-15,Paulson Community Center,21
